"zipcode","county","city"
"100","Taipei City","Zhongzheng District"
"103","Taipei City","Daton District"
"104","Taipei City","Zhongshan District"
"105","Taipei City","Songshan District"
"106","Taipei City","Da'an District"
"108","Taipei City","Wanhua Disrict"
"110","Taipei City","Xinyi District"
"111","Taipei City","Shilin District"
"112","Taipei City","Beitou District"
"114","Taipei City","Neihu District"
"115","Taipei City","Nangang District"
"116","Taipei City","Wenshan District"
"200","Keelung City","Ren'ai District"
"201","Keelung City","Xinyi District"
"202","Keelung City","Zhongzheng District"
"203","Keelung City","Zhongshan District"
"204","Keelung City","Anle District"
"205","Keelung City","Nuannuan District"
"206","Keelung City","Qidu District"
"207","New Taipei City","Wanli District"
"208","New Taipei City","Jinshan District"
"220","New Taipei City","Banqiao District"
"221","New Taipei City","Xizhi District"
"222","New Taipei City","Shenkeng District"
"223","New Taipei City","Shiding District"
"224","New Taipei City","Ruifang District"
"226","New Taipei City","Pingxi District"
"227","New Taipei City","Shuangxi District"
"228","New Taipei City","Gongliao District"
"231","New Taipei City","Xindian Distict"
"232","New Taipei City","Pinglin District"
"233","New Taipei City","Wulai District"
"234","New Taipei City","Yonghe District"
"235","New Taipei City","Zhonghe District"
"236","New Taipei City","Tucheng District"
"237","New Taipei City","Sanxia District"
"238","New Taipei City","Shulin District"
"239","New Taipei City","Yingge District"
"241","New Taipei City","Sanchong District"
"242","New Taipei City","Xinzhuang District"
"243","New Taipei City","Taishan District"
"244","New Taipei City","Linkou District"
"247","New Taipei City","Luzhou District"
"248","New Taipei City","Wugu District"
"249","New Taipei City","Bali District"
"251","New Taipei City","Tamsui District"
"252","New Taipei City","Sanzhi District"
"253","New Taipei City","Shimen District"
"260","Yilan County","Yilan City"
"261","Yilan County","Toucheng Township"
"262","Yilan County","Jiaoxi Township"
"263","Yilan County","Zhuangwei Township"
"264","Yilan County","Yuanshan Township"
"265","Yilan County","Luodong Township"
"266","Yilan County","Sanxing Township"
"267","Yilan County","Datong Township"
"268","Yilan County","Wujie Township"
"269","Yilan County","Dongshan Township"
"270","Yilan County","Su'ao Township"
"272","Yilan County","Nan'ao Township"
"290","Yilan County","Diaoyu Islands"
"300","Hsinchu City","Hsinchu City"
"302","HsinChu County","Zhubei City"
"303","HsinChu County","Hukou Township"
"304","HsinChu County","Xinfeng Township"
"305","HsinChu County","Xinpu Township"
"306","HsinChu County","Guanxi Township"
"307","HsinChu County","Qionglin Township"
"308","HsinChu County","Baoshan Township"
"310","HsinChu County","Zhudong Township"
"311","HsinChu County","Wufeng Township"
"312","HsinChu County","Hengshan Township"
"313","HsinChu County","Jianshi Township"
"314","HsinChu County","Beipu Township"
"315","HsinChu County","Emei Township"
"320","Taoyuan City","Zhongli District"
"324","Taoyuan City","Pingzhen District"
"325","Taoyuan City","Longtan District"
"326","Taoyuan City","Yangmei District"
"327","Taoyuan City","Xinwu District"
"328","Taoyuan City","Guanyin District"
"330","Taoyuan City","Taoyuan District"
"333","Taoyuan City","Guishan District"
"334","Taoyuan City","Bade District"
"335","Taoyuan City","Daxi District"
"336","Taoyuan City","Fuxing District"
"337","Taoyuan City","Dayuan District"
"338","Taoyuan City","Luzhu District"
"350","Miaoli County","Zhunan Township"
"351","Miaoli County","Toufen Town"
"352","Miaoli County","Sanwan Township"
"353","Miaoli County","Nanzhuang Township"
"354","Miaoli County","Shitan Township"
"356","Miaoli County","Houlong Township"
"357","Miaoli County","Tongxiao Township"
"358","Miaoli County","Yuanli Township"
"360","Miaoli County","Miaoli City"
"361","Miaoli County","Zaoqiao Township"
"362","Miaoli County","Touwu Township"
"363","Miaoli County","Gongguan Township"
"364","Miaoli County","Dahu Township"
"365","Miaoli County","Tai'an Township"
"366","Miaoli County","Tongluo Township"
"367","Miaoli County","Sanyi Township"
"368","Miaoli County","Xihu Township"
"369","Miaoli County","Zhuolan Township"
"400","Taichung City","Central District"
"401","Taichung City","East District"
"402","Taichung City","South District"
"403","Taichung City","West District"
"404","Taichung City","North District"
"406","Taichung City","Beitun District"
"407","Taichung City","Xitun District"
"408","Taichung City","Nantun District"
"411","Taichung City","Taiping District"
"412","Taichung City","Dali District"
"413","Taichung City","Wufeng District"
"414","Taichung City","Wuri District"
"420","Taichung City","Fengyuan District"
"421","Taichung City","Houli District"
"422","Taichung City","Shigang District"
"423","Taichung City","Dongshi District"
"424","Taichung City","Heping District"
"426","Taichung City","Xinshe District"
"427","Taichung City","Tanzi District"
"428","Taichung City","Daya District"
"429","Taichung City","Shengang District"
"432","Taichung City","Dadu District"
"433","Taichung City","Shalu District"
"434","Taichung City","Longjing District"
"435","Taichung City","Wuqi District"
"436","Taichung City","Qingshui District"
"437","Taichung City","Dajia District"
"438","Taichung City","Waipu District"
"439","Taichung City","Da'an District"
"500","Changhua County","Changhua City"
"502","Changhua County","Fenyuan Township"
"503","Changhua County","Huatan Township"
"504","Changhua County","Xiushui Township"
"505","Changhua County","Lukang Township"
"506","Changhua County","Fuxing Township"
"507","Changhua County","Xianxi Township"
